"Gene_set","ID","Description","GeneRatio","BgRatio","p.adjust","qvalue","Count","geneID"
"TNBC_up","GO:0000070","mitotic sister chromatid segregation","56/1618","186/14562",6.65599376231609e-09,6.25614135389037e-09,56,"CDCA8/CDC20/TTK/PLK1/EML4/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/PRC1/NCAPD2/BIRC5/SPC24/BUB1B/TPX2/CDT1/PINX1/KIF18A/NCAPH/DLGAP5/SEH1L/UBE2C/HASPIN/NEK2/NDC80/BUB1/KIF23/PRICKLE1/MAD2L1/TRIP13/NCAPG/MYBL2/KIFC1/AURKB/NUF2/KNL1/CCSAP/ZW10/CDK1/KIF18B/KNSTRN/SMC2/CHMP4C/PSRC1/KIF11/FLNA/MAD2L2/INCENP/STAG1/CENPE/BAZ1B/TENT4A/SKA1/SKA3/HNRNPU"
"TNBC_up","GO:0140014","mitotic nuclear division","70/1618","266/14562",7.3132644367556e-09,6.87392712621802e-09,70,"CDCA2/CDCA8/CDC20/NFIB/TTK/PLK1/EML4/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/MTBP/PRC1/BMP7/NCAPD2/BIRC5/SPC24/BUB1B/TPX2/CDT1/PINX1/UBE2S/KIF18A/NCAPH/DLGAP5/SEH1L/UBE2C/RANBP1/HASPIN/NEK2/NDC80/ANLN/LRP5/BUB1/KIF23/CHEK1/PRICKLE1/MAD2L1/TRIP13/NCAPG/MYBL2/AURKA/KIFC1/AURKB/NUF2/KNL1/CCSAP/ZW10/CDK1/KIF18B/BORA/KNSTRN/SMC2/CHMP4C/PSRC1/KIF11/MKI67/FLNA/MAD2L2/INCENP/STAG1/CENPE/TGFA/BAZ1B/REEP3/TENT4A/SKA1/SKA3/HNRNPU"
"TNBC_up","GO:0000280","nuclear division","93/1618","406/14562",8.6017311527147e-09,8.08499044638827e-09,93,"RAD51AP1/MASTL/CDCA2/CDCA8/CDC20/NFIB/CCNA1/RAD54L/CCNE1/TTK/PLK1/EML4/STRA8/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/PTTG1/CKS2/MTBP/PRC1/CCNB2/BMP7/NCAPD2/BIRC5/FANCA/STAG3/SPC24/CYP26B1/BUB1B/TPX2/CDT1/PINX1/UBE2S/KIF18A/NCAPH/DLGAP5/SEH1L/UBE2C/RANBP1/HASPIN/NEK2/NDC80/ANLN/LRP5/BUB1/KIF23/MND1/CHEK1/PRICKLE1/MAD2L1/TRIP13/RAD51/NCAPG/MYBL2/AURKA/KIFC1/AURKB/NDC1/ASPM/MCMDC2/NUF2/KNL1/CCSAP/ZW10/CDK1/KIF18B/BORA/KNSTRN/SMC2/CALR/CHMP4C/MYBL1/PSRC1/KIF11/MKI67/FLNA/MAD2L2/INCENP/STAG1/CENPE/TGFA/BAZ1B/REEP3/BAG6/BRME1/TENT4A/GPR3/SKA1/SKA3/HNRNPU/FANCD2"
"TNBC_up","GO:0007059","chromosome segregation","90/1618","402/14562",5.35654839771315e-08,5.03475891680936e-08,90,"CDCA2/CDCA8/CDC20/HJURP/CCNE1/TTK/HAUS6/PLK1/EML4/HAUS7/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/DIAPH3/PTTG1/PRC1/CCNB2/NCAPD2/BIRC5/FAM83D/CENPW/CENPO/STAG3/SPC24/BUB1B/TPX2/CDT1/PINX1/PLSCR1/DSN1/KIF18A/NCAPH/DLGAP5/SEH1L/OIP5/UBE2C/HASPIN/NEK2/NDC80/BUB1/KIF23/MND1/DPF3/CENPM/PRICKLE1/MAD2L1/TRIP13/NCAPG/MYBL2/AURKA/KIFC1/AURKB/NDC1/ASPM/MCMDC2/NUF2/SMC5/KNL1/CENPU/CCSAP/ZW10/CDK1/CENPH/RIOK3/KIF18B/CENPL/KNSTRN/SMC2/CHMP4C/PSRC1/KIF11/MKI67/FLNA/MAD2L2/INCENP/ESCO2/SASS6/STAG1/CENPE/BAZ1B/BAG6/TENT4A/SKA1/RMI2/SKA3/SMARCC1/HNRNPU/FANCD2"
"TNBC_up","GO:1905818","regulation of chromosome separation","30/1618","74/14562",6.94889246530102e-08,6.5314444496684e-08,30,"CDCA8/CDC20/TTK/PLK1/CENPF/NCAPG2/FBXO5/NCAPD2/BIRC5/SPC24/BUB1B/PLSCR1/NCAPH/DLGAP5/UBE2C/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/NCAPG/AURKB/NUF2/KNL1/ZW10/SMC2/MAD2L2/INCENP/SKA1/SKA3"
"TNBC_up","GO:0098813","nuclear chromosome segregation","72/1618","298/14562",9.0801064329622e-08,8.53462779286227e-08,72,"CDCA8/CDC20/CCNE1/TTK/PLK1/EML4/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/PTTG1/PRC1/CCNB2/NCAPD2/BIRC5/FAM83D/STAG3/SPC24/BUB1B/TPX2/CDT1/PINX1/DSN1/KIF18A/NCAPH/DLGAP5/SEH1L/UBE2C/HASPIN/NEK2/NDC80/BUB1/KIF23/MND1/DPF3/PRICKLE1/MAD2L1/TRIP13/NCAPG/MYBL2/AURKA/KIFC1/AURKB/NDC1/ASPM/MCMDC2/NUF2/KNL1/CCSAP/ZW10/CDK1/KIF18B/KNSTRN/SMC2/CHMP4C/PSRC1/KIF11/FLNA/MAD2L2/INCENP/STAG1/CENPE/BAZ1B/BAG6/TENT4A/SKA1/RMI2/SKA3/SMARCC1/HNRNPU/FANCD2"
"TNBC_up","GO:0048285","organelle fission","97/1618","455/14562",9.65709866516434e-08,9.07695777297589e-08,97,"RAD51AP1/MASTL/CDCA2/CDCA8/CDC20/NFIB/CCNA1/RAD54L/CCNE1/TTK/PLK1/EML4/STRA8/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/PTTG1/CKS2/MTBP/PRC1/CCNB2/BMP7/NCAPD2/BIRC5/FANCA/STAG3/SPC24/CYP26B1/BUB1B/TPX2/CDT1/PINX1/UBE2S/KIF18A/NCAPH/DLGAP5/SEH1L/UBE2C/RANBP1/HASPIN/NEK2/NDC80/ANLN/LRP5/BUB1/KIF23/MTFR2/MND1/CHEK1/MTFR1/PRICKLE1/MAD2L1/TRIP13/RAD51/NCAPG/MYBL2/AURKA/KIFC1/AURKB/NDC1/CORO1C/ASPM/MCMDC2/NUF2/KNL1/CCSAP/ZW10/CDK1/KIF18B/BORA/KNSTRN/SMC2/CALR/CHMP4C/MYBL1/PSRC1/KIF11/MKI67/DNM1L/FLNA/MAD2L2/INCENP/STAG1/CENPE/TGFA/BAZ1B/REEP3/BAG6/BRME1/TENT4A/GPR3/SKA1/SKA3/HNRNPU/FANCD2"
"TNBC_up","GO:0000819","sister chromatid segregation","59/1618","226/14562",1.26357678527456e-07,1.18766862807595e-07,59,"CDCA8/CDC20/TTK/PLK1/EML4/KIF14/CENPF/NCAPG2/KIF2C/FBXO5/PRC1/NCAPD2/BIRC5/SPC24/BUB1B/TPX2/CDT1/PINX1/KIF18A/NCAPH/DLGAP5/SEH1L/UBE2C/HASPIN/NEK2/NDC80/BUB1/KIF23/DPF3/PRICKLE1/MAD2L1/TRIP13/NCAPG/MYBL2/KIFC1/AURKB/NUF2/KNL1/CCSAP/ZW10/CDK1/KIF18B/KNSTRN/SMC2/CHMP4C/PSRC1/KIF11/FLNA/MAD2L2/INCENP/STAG1/CENPE/BAZ1B/TENT4A/SKA1/RMI2/SKA3/SMARCC1/HNRNPU"
"TNBC_up","GO:0045839","negative regulation of mitotic nuclear division","25/1618","56/14562",1.26357678527456e-07,1.18766862807595e-07,25,"CDCA8/CDC20/TTK/PLK1/CENPF/FBXO5/MTBP/BMP7/BIRC5/SPC24/BUB1B/HASPIN/NDC80/BUB1/CHEK1/MAD2L1/TRIP13/AURKB/NUF2/KNL1/ZW10/MAD2L2/INCENP/SKA1/SKA3"
"TNBC_up","GO:0051304","chromosome separation","30/1618","79/14562",2.35346314800315e-07,2.21208111829061e-07,30,"CDCA8/CDC20/TTK/PLK1/CENPF/NCAPG2/FBXO5/NCAPD2/BIRC5/SPC24/BUB1B/PLSCR1/NCAPH/DLGAP5/UBE2C/HASPIN/NDC80/BUB1/MAD2L1/TRIP13/NCAPG/AURKB/NUF2/KNL1/ZW10/SMC2/MAD2L2/INCENP/SKA1/SKA3"
